timestep,reward,length,violations,thrust,sfc,T4
56600,-400.801405,200,98,10360.35,0.6489595025777817,2784.11962890625
56800,185.954187,200,2,5044.696875000001,0.5896163731813431,2739.7578125
57000,34.93013,200,24,10360.400000000001,0.648949146270752,2784.12109375
57200,-469.031806,200,96,7123.475,0.6090983003377914,2748.792236328125
57400,9.240854,200,23,10204.7859375,0.676514059305191,2779.14111328125
57600,249.253732,200,0,10083.7,0.6935921311378479,2775.620361328125
57800,116.945304,200,12,9223.9296875,0.7854059338569641,2755.597900390625
58000,136.780435,200,3,9991.875,0.7053101062774658,2773.0947265625
58200,-7.446942,200,33,8927.546875,0.8054579794406891,2750.82177734375
58400,-155.50372,200,62,9653.690625000001,0.744040384888649,2764.6064453125
58600,204.061201,200,1,9735.675000000001,0.7351198047399521,2766.5556640625
58800,-32.181607,200,45,5043.6125,0.5895333364605904,2739.752685546875
59000,-548.891225,200,120,5043.9984375,0.5895629152655602,2739.754638671875
59200,-495.566189,200,100,10360.400000000001,0.648949146270752,2784.12109375
59400,-13.718145,200,33,5044.064062500001,0.5895676836371422,2739.7548828125
59600,-374.352059,200,87,10360.400000000001,0.648949146270752,2784.12109375
59800,28.055331,200,27,10360.400000000001,0.648949146270752,2784.12109375
60000,81.759768,200,28,10360.400000000001,0.648949146270752,2784.12109375
60200,-355.725609,200,91,5043.809375000001,0.5895482748746872,2739.753662109375
60400,200.980471,200,2,5043.829687500001,0.5895505100488663,2739.753662109375
60600,-10.9775,200,37,5043.6125,0.5895333364605904,2739.752685546875
60800,-120.005306,200,44,5043.790625000001,0.5895470082759857,2739.75341796875
61000,84.650055,200,17,5043.6125,0.5895333364605904,2739.752685546875
61200,-220.976243,200,58,5043.725,0.5895424634218216,2739.753173828125
61400,-183.887746,200,61,10025.167187500001,0.7011498510837555,2773.997802734375
61600,267.277725,200,0,9998.384375000001,0.7045035809278488,2773.27001953125
61800,-31.652427,200,36,10060.228125000001,0.6966643035411835,2774.964111328125
62000,176.31355,200,12,5043.6125,0.5895333364605904,2739.752685546875
62200,112.456532,200,22,5043.6125,0.5895333364605904,2739.752685546875
62400,51.911495,200,24,10360.400000000001,0.648949146270752,2784.12109375
62600,-207.910318,200,54,10360.400000000001,0.648949146270752,2784.12109375
62800,250.415351,200,1,9828.909375000001,0.7246410101652145,2768.85546875
63000,-73.205851,200,42,10360.400000000001,0.648949146270752,2784.12109375
63200,66.535186,200,25,5082.098437500001,0.5920291319489479,2739.92041015625
63400,124.177817,200,11,5043.6125,0.5895333364605904,2739.752685546875
63600,-633.607011,200,120,5043.6125,0.5895333364605904,2739.752685546875
63800,-299.915796,200,76,5043.6125,0.5895333364605904,2739.752685546875
64000,-460.975242,200,101,5043.6125,0.5895333364605904,2739.752685546875
64200,56.595831,200,16,5046.6390625,0.5897617340087891,2739.766845703125
64400,-59.868938,200,40,5043.6125,0.5895333364605904,2739.752685546875
64600,58.757699,200,18,5043.6125,0.5895333364605904,2739.752685546875
64800,-203.005813,200,62,5043.6125,0.5895333364605904,2739.752685546875
65000,-121.361306,200,50,5043.6125,0.5895333364605904,2739.752685546875
65200,194.466591,200,1,5043.610937500001,0.5895335227251053,2739.752685546875
65400,78.262383,200,18,5087.659375,0.5923216789960861,2739.942626953125
65600,50.20025,200,32,5043.610937500001,0.5895335227251053,2739.752685546875
65800,-213.228097,200,73,5043.610937500001,0.5895335227251053,2739.752685546875
66000,-326.343487,200,74,10360.3984375,0.64894899725914,2784.12109375
66200,221.924976,200,1,5047.2328125,0.5898061394691467,2739.769775390625
66400,-59.586188,200,47,5043.610937500001,0.5895335227251053,2739.752685546875
